hugoGeneSymbol,TCGA-05-4244-01,TCGA-05-4249-01,TCGA-05-4250-01,TCGA-05-4382-01,TCGA-05-4384-01,TCGA-05-4389-01,TCGA-05-4390-01,TCGA-05-4395-01,TCGA-05-4396-01,TCGA-05-4397-01,TCGA-05-4398-01,TCGA-05-4402-01,TCGA-05-4403-01,TCGA-05-4405-01,TCGA-05-4410-01,TCGA-05-4415-01,TCGA-05-4417-01,TCGA-05-4418-01,TCGA-05-4420-01,TCGA-05-4422-01,TCGA-05-4424-01,TCGA-05-4425-01,TCGA-05-4426-01,TCGA-05-4427-01,TCGA-05-4430-01,TCGA-05-4432-01,TCGA-05-4433-01,TCGA-05-4434-01,TCGA-05-5423-01,TCGA-05-5425-01,TCGA-05-5428-01,TCGA-05-5429-01,TCGA-05-5715-01,TCGA-35-3615-01,TCGA-35-4122-01,TCGA-35-4123-01,TCGA-35-5375-01,TCGA-38-4625-01,TCGA-38-4626-01,TCGA-38-4627-01,TCGA-38-4628-01,TCGA-38-4631-01,TCGA-38-4632-01,TCGA-38-6178-01,TCGA-38-7271-01,TCGA-38-A44F-01,TCGA-44-2655-01,TCGA-44-2656-01,TCGA-44-2657-01,TCGA-44-2659-01,TCGA-44-2662-01,TCGA-44-2665-01,TCGA-44-2666-01,TCGA-44-2668-01,TCGA-44-3396-01,TCGA-44-3398-01,TCGA-44-3918-01,TCGA-44-3919-01,TCGA-44-4112-01,TCGA-44-5643-01,TCGA-44-5644-01,TCGA-44-5645-01,TCGA-44-6145-01,TCGA-44-6146-01,TCGA-44-6148-01,TCGA-44-6774-01,TCGA-44-6775-01,TCGA-44-6776-01,TCGA-44-6777-01,TCGA-44-6778-01,TCGA-44-6779-01,TCGA-44-7659-01,TCGA-44-7660-01,TCGA-44-7661-01,TCGA-44-7662-01,TCGA-44-7667-01,TCGA-44-7669-01,TCGA-44-7670-01,TCGA-44-7671-01,TCGA-44-7672-01,TCGA-44-8117-01,TCGA-44-8119-01,TCGA-44-8120-01,TCGA-44-A479-01,TCGA-44-A47A-01,TCGA-44-A47B-01,TCGA-44-A47G-01,TCGA-44-A4SS-01,TCGA-44-A4SU-01,TCGA-49-4486-01,TCGA-49-4487-01,TCGA-49-4488-01,TCGA-49-4490-01,TCGA-49-4494-01,TCGA-49-4501-01,TCGA-49-4505-01,TCGA-49-4506-01,TCGA-49-4507-01,TCGA-49-4510-01,TCGA-49-4512-01,TCGA-49-4514-01,TCGA-49-6742-01,TCGA-49-6743-01,TCGA-49-6744-01,TCGA-49-6745-01,TCGA-49-6761-01,TCGA-49-6767-01,TCGA-49-AAQV-01,TCGA-49-AAR0-01,TCGA-49-AAR2-01,TCGA-49-AAR3-01,TCGA-49-AAR4-01,TCGA-49-AAR9-01,TCGA-49-AARE-01,TCGA-49-AARN-01,TCGA-49-AARO-01,TCGA-49-AARQ-01,TCGA-49-AARR-01,TCGA-4B-A93V-01,TCGA-50-5044-01,TCGA-50-5045-01,TCGA-50-5049-01,TCGA-50-5051-01,TCGA-50-5055-01,TCGA-50-5066-01,TCGA-50-5068-01,TCGA-50-5072-01,TCGA-50-5930-01,TCGA-50-5931-01,TCGA-50-5932-01,TCGA-50-5933-01,TCGA-50-5935-01,TCGA-50-5936-01,TCGA-50-5939-01,TCGA-50-5941-01,TCGA-50-5942-01,TCGA-50-5944-01,TCGA-50-5946-01,TCGA-50-6590-01,TCGA-50-6591-01,TCGA-50-6592-01,TCGA-50-6593-01,TCGA-50-6594-01,TCGA-50-6595-01,TCGA-50-6597-01,TCGA-50-6673-01,TCGA-50-7109-01,TCGA-50-8457-01,TCGA-50-8459-01,TCGA-50-8460-01,TCGA-53-7624-01,TCGA-53-7626-01,TCGA-53-7813-01,TCGA-53-A4EZ-01,TCGA-55-1592-01,TCGA-55-1594-01,TCGA-55-1595-01,TCGA-55-1596-01,TCGA-55-5899-01,TCGA-55-6543-01,TCGA-55-6642-01,TCGA-55-6712-01,TCGA-55-6968-01,TCGA-55-6969-01,TCGA-55-6970-01,TCGA-55-6971-01,TCGA-55-6972-01,TCGA-55-6975-01,TCGA-55-6978-01,TCGA-55-6979-01,TCGA-55-6980-01,TCGA-55-6981-01,TCGA-55-6982-01,TCGA-55-6983-01,TCGA-55-6984-01,TCGA-55-6985-01,TCGA-55-6986-01,TCGA-55-6987-01,TCGA-55-7227-01,TCGA-55-7281-01,TCGA-55-7283-01,TCGA-55-7284-01,TCGA-55-7570-01,TCGA-55-7573-01,TCGA-55-7574-01,TCGA-55-7576-01,TCGA-55-7724-01,TCGA-55-7725-01,TCGA-55-7726-01,TCGA-55-7727-01,TCGA-55-7728-01,TCGA-55-7815-01,TCGA-55-7816-01,TCGA-55-7903-01,TCGA-55-7907-01,TCGA-55-7910-01,TCGA-55-7911-01,TCGA-55-7913-01,TCGA-55-7914-01,TCGA-55-7994-01,TCGA-55-7995-01,TCGA-55-8085-01,TCGA-55-8087-01,TCGA-55-8089-01,TCGA-55-8090-01,TCGA-55-8091-01,TCGA-55-8092-01,TCGA-55-8094-01,TCGA-55-8096-01,TCGA-55-8097-01,TCGA-55-8203-01,TCGA-55-8204-01,TCGA-55-8205-01,TCGA-55-8206-01,TCGA-55-8207-01,TCGA-55-8208-01,TCGA-55-8299-01,TCGA-55-8301-01,TCGA-55-8302-01,TCGA-55-8505-01,TCGA-55-8506-01,TCGA-55-8507-01,TCGA-55-8508-01,TCGA-55-8510-01,TCGA-55-8511-01,TCGA-55-8512-01,TCGA-55-8513-01,TCGA-55-8514-01,TCGA-55-8614-01,TCGA-55-8615-01,TCGA-55-8616-01,TCGA-55-8619-01,TCGA-55-8620-01,TCGA-55-8621-01,TCGA-55-A48X-01,TCGA-55-A48Y-01,TCGA-55-A48Z-01,TCGA-55-A490-01,TCGA-55-A491-01,TCGA-55-A492-01,TCGA-55-A493-01,TCGA-55-A494-01,TCGA-55-A4DF-01,TCGA-55-A4DG-01,TCGA-55-A57B-01,TCGA-62-8394-01,TCGA-62-8395-01,TCGA-62-8397-01,TCGA-62-8398-01,TCGA-62-8399-01,TCGA-62-8402-01,TCGA-62-A46O-01,TCGA-62-A46P-01,TCGA-62-A46R-01,TCGA-62-A46S-01,TCGA-62-A46U-01,TCGA-62-A46V-01,TCGA-62-A46Y-01,TCGA-62-A470-01,TCGA-62-A471-01,TCGA-62-A472-01,TCGA-64-1676-01,TCGA-64-1677-01,TCGA-64-1678-01,TCGA-64-1679-01,TCGA-64-1680-01,TCGA-64-1681-01,TCGA-64-5774-01,TCGA-64-5775-01,TCGA-64-5778-01,TCGA-64-5779-01,TCGA-64-5781-01,TCGA-64-5815-01,TCGA-67-3770-01,TCGA-67-3771-01,TCGA-67-3772-01,TCGA-67-3773-01,TCGA-67-3774-01,TCGA-67-4679-01,TCGA-67-6215-01,TCGA-67-6216-01,TCGA-67-6217-01,TCGA-69-7760-01,TCGA-69-7761-01,TCGA-69-7763-01,TCGA-69-7764-01,TCGA-69-7765-01,TCGA-69-7973-01,TCGA-69-7974-01,TCGA-69-7978-01,TCGA-69-7979-01,TCGA-69-7980-01,TCGA-69-8253-01,TCGA-69-8254-01,TCGA-69-8255-01,TCGA-69-8453-01,TCGA-69-A59K-01,TCGA-71-6725-01,TCGA-71-8520-01,TCGA-73-4658-01,TCGA-73-4659-01,TCGA-73-4662-01,TCGA-73-4666-01,TCGA-73-4668-01,TCGA-73-4670-01,TCGA-73-4675-01,TCGA-73-4676-01,TCGA-73-4677-01,TCGA-73-7498-01,TCGA-73-7499-01,TCGA-73-A9RS-01,TCGA-75-5122-01,TCGA-75-5125-01,TCGA-75-5126-01,TCGA-75-5146-01,TCGA-75-5147-01,TCGA-75-6203-01,TCGA-75-6205-01,TCGA-75-6206-01,TCGA-75-6207-01,TCGA-75-6211-01,TCGA-75-6212-01,TCGA-75-6214-01,TCGA-75-7025-01,TCGA-75-7027-01,TCGA-75-7030-01,TCGA-75-7031-01,TCGA-78-7143-01,TCGA-78-7145-01,TCGA-78-7146-01,TCGA-78-7147-01,TCGA-78-7148-01,TCGA-78-7149-01,TCGA-78-7150-01,TCGA-78-7152-01,TCGA-78-7153-01,TCGA-78-7154-01,TCGA-78-7155-01,TCGA-78-7156-01,TCGA-78-7158-01,TCGA-78-7159-01,TCGA-78-7160-01,TCGA-78-7161-01,TCGA-78-7162-01,TCGA-78-7163-01,TCGA-78-7166-01,TCGA-78-7167-01,TCGA-78-7220-01,TCGA-78-7535-01,TCGA-78-7536-01,TCGA-78-7537-01,TCGA-78-7539-01,TCGA-78-7540-01,TCGA-78-7542-01,TCGA-78-7633-01,TCGA-78-8640-01,TCGA-78-8648-01,TCGA-78-8655-01,TCGA-78-8660-01,TCGA-78-8662-01,TCGA-80-5607-01,TCGA-80-5608-01,TCGA-80-5611-01,TCGA-83-5908-01,TCGA-86-6562-01,TCGA-86-6851-01,TCGA-86-7701-01,TCGA-86-7711-01,TCGA-86-7713-01,TCGA-86-7714-01,TCGA-86-7953-01,TCGA-86-7954-01,TCGA-86-7955-01,TCGA-86-8054-01,TCGA-86-8055-01,TCGA-86-8056-01,TCGA-86-8073-01,TCGA-86-8074-01,TCGA-86-8075-01,TCGA-86-8076-01,TCGA-86-8278-01,TCGA-86-8279-01,TCGA-86-8280-01,TCGA-86-8281-01,TCGA-86-8358-01,TCGA-86-8359-01,TCGA-86-8585-01,TCGA-86-8668-01,TCGA-86-8669-01,TCGA-86-8671-01,TCGA-86-8672-01,TCGA-86-8673-01,TCGA-86-8674-01,TCGA-86-A456-01,TCGA-86-A4D0-01,TCGA-86-A4JF-01,TCGA-86-A4P7-01,TCGA-86-A4P8-01,TCGA-91-6828-01,TCGA-91-6829-01,TCGA-91-6830-01,TCGA-91-6831-01,TCGA-91-6835-01,TCGA-91-6836-01,TCGA-91-6840-01,TCGA-91-6847-01,TCGA-91-6848-01,TCGA-91-6849-01,TCGA-91-7771-01,TCGA-91-8496-01,TCGA-91-8497-01,TCGA-91-8499-01,TCGA-91-A4BC-01,TCGA-91-A4BD-01,TCGA-93-7347-01,TCGA-93-7348-01,TCGA-93-8067-01,TCGA-93-A4JN-01,TCGA-93-A4JO-01,TCGA-93-A4JP-01,TCGA-93-A4JQ-01,TCGA-95-7039-01,TCGA-95-7043-01,TCGA-95-7562-01,TCGA-95-7567-01,TCGA-95-7944-01,TCGA-95-7947-01,TCGA-95-7948-01,TCGA-95-8039-01,TCGA-95-8494-01,TCGA-95-A4VK-01,TCGA-95-A4VN-01,TCGA-95-A4VP-01,TCGA-97-7546-01,TCGA-97-7547-01,TCGA-97-7552-01,TCGA-97-7553-01,TCGA-97-7554-01,TCGA-97-7937-01,TCGA-97-7938-01,TCGA-97-7941-01,TCGA-97-8171-01,TCGA-97-8172-01,TCGA-97-8174-01,TCGA-97-8175-01,TCGA-97-8176-01,TCGA-97-8177-01,TCGA-97-8179-01,TCGA-97-8547-01,TCGA-97-8552-01,TCGA-97-A4LX-01,TCGA-97-A4M0-01,TCGA-97-A4M1-01,TCGA-97-A4M2-01,TCGA-97-A4M3-01,TCGA-97-A4M5-01,TCGA-97-A4M6-01,TCGA-97-A4M7-01,TCGA-99-7458-01,TCGA-99-8025-01,TCGA-99-8028-01,TCGA-99-8032-01,TCGA-99-8033-01,TCGA-99-AA5R-01,TCGA-J2-8192-01,TCGA-J2-8194-01,TCGA-J2-A4AD-01,TCGA-J2-A4AE-01,TCGA-J2-A4AG-01,TCGA-L4-A4E5-01,TCGA-L4-A4E6-01,TCGA-L9-A443-01,TCGA-L9-A444-01,TCGA-L9-A50W-01,TCGA-L9-A5IP-01,TCGA-L9-A743-01,TCGA-L9-A7SV-01,TCGA-L9-A8F4-01,TCGA-MN-A4N1-01,TCGA-MN-A4N4-01,TCGA-MN-A4N5-01,TCGA-MP-A4SV-01,TCGA-MP-A4SW-01,TCGA-MP-A4SY-01,TCGA-MP-A4T4-01,TCGA-MP-A4T6-01,TCGA-MP-A4T7-01,TCGA-MP-A4T8-01,TCGA-MP-A4T9-01,TCGA-MP-A4TA-01,TCGA-MP-A4TC-01,TCGA-MP-A4TD-01,TCGA-MP-A4TE-01,TCGA-MP-A4TF-01,TCGA-MP-A4TH-01,TCGA-MP-A4TI-01,TCGA-MP-A4TJ-01,TCGA-MP-A4TK-01,TCGA-MP-A5C7-01,TCGA-NJ-A4YF-01,TCGA-NJ-A4YG-01,TCGA-NJ-A4YI-01,TCGA-NJ-A4YP-01,TCGA-NJ-A4YQ-01,TCGA-NJ-A55A-01,TCGA-NJ-A55O-01,TCGA-NJ-A55R-01,TCGA-NJ-A7XG-01,TCGA-O1-A52J-01,TCGA-S2-AA1A-01
ALK,6.6323,7.083,1.658,9.3329,5.4979,7.3826,17.2441,0.8053,0.0,150.193,13.0492,2.4127,15.0125,1.3253,5.3517,4.0,2.5415,2.3265,1.0518,4.8706,33.8418,6.7152,2.3712,7.5681,1.5949,2.8843,96.6942,4.974,14.652,7.9186,2.6161,0.0,35.9165,12.9955,18.0905,0.8782,7.7691,5.3506,7.4656,4.378,6.6372,1.5695,3.0587,2.3401,9.8709,34.8174,3.1076,11.9225,14.7651,4.5767,2.5137,4.7438,6.2559,1.0918,3.5802,2.9979,3.8139,2.6016,5.2209,179.718,24.6052,0.5737,2.5268,0.0,2.6785,0.9294,16.6583,5.0287,29.4582,29.8223,0.797,8.2212,6.3085,2.1861,3.5516,502.07,1.5334,2.7823,1.5754,13.2761,4.3359,0.263,3.3641,1.7026,8.7001,0.4478,4.0276,4.4308,6.5735,3.6574,5.8972,0.0,3.7443,0.8518,5.284,5.3326,2.3878,0.3459,0.3193,11.5296,0.7651,0.7457,4.8833,4.5825,5.8968,156.92,1.1834,13.7772,17.3525,1.2374,5.2265,5.0441,2.7536,11.3792,0.7463,2.8827,58.427,3.5719,0.4811,3.0706,24.5347,15.625,3.873,4.9834,2.6132,6.8406,5.5427,11.9525,0.6313,1.2469,1.0205,2.5466,3.655,3.4206,7.6923,1.2786,1.2197,1.9299,3.2609,5.3763,0.4281,9.6216,1.4085,7.074,0.9425,2.2434,2.4408,1.3316,6.714,381.041,1.7567,2.5609,0.0,0.0,27.3356,3.5377,1.526,5.3286,14.8593,22.854,4.5872,8.0663,10.8758,6.554,5.7822,13.5528,2.2831,3.3529,8.6461,14.0938,5.305,9.6491,17.5156,10.6383,0.0,5.9701,11.6279,7.4153,4.8376,3.4188,5.0125,109.394,3.9216,4.8038,7.9381,7.576,9.018,6.3025,0.8873,4.5872,43.3414,6.012,4.7312,10.4634,2.3456,0.9259,7.4006,2.2957,2.9985,4.7492,7.6384,3.4795,4.1885,9.9798,13.6265,5.6269,1.3346,0.596,25.2598,16.4133,8.0882,0.0,3.7975,1.4767,7.628,45.3842,4.646,4.7312,8.3068,0.0,3.9414,4.329,30.0619,7.9559,2.1718,6.9482,334.57,5.1613,1.8859,1.6043,0.0,24.4613,1.1907,10.7138,5.3763,3.1513,12.9745,0.984,1.0588,10.1768,0.0,6.6518,1.8493,24.2616,10.2257,7.901,2.1931,4.3796,1.5013,13.9939,0.0,0.5574,2.2556,2.5011,4.415,13.1525,6.9479,8.5213,11.0837,2.5575,30.888,4.85,6.5646,2.8096,2.6117,1.4948,1.8072,5.1474,182.859,1.5568,0.0,7.717,7.8555,0.9398,6.5147,1.8727,17.4717,1.916,2.2952,395.514,391.336,3.98,4.3723,1.619,11.8221,1.3263,6.2422,36.1217,4.1148,9.0787,1.1598,1.2248,2.8571,2.2147,0.8322,59.4542,3.075,0.0,3.0999,8.0552,10.3376,5.6262,6.0366,1.23,4.1,2.1685,2.1108,2.6021,2.1804,3.581,1.7606,2.5386,66.4948,3.9809,2.8349,10.3214,72.2146,0.8475,4.4053,2.1978,1.3149,12.4712,0.6074,6.4297,0.8686,0.0,7.5269,11.5163,1.1638,1.99,5.8687,2.1271,1.6543,0.5737,4.6425,1.2281,1.1907,2.3148,0.6219,4.9793,0.0,15.142,0.0,13.5382,836.087,1.3375,0.2972,1.5442,0.0,0.7677,2.1398,5.0074,15.5758,0.2789,1.1516,1.167,51.9481,31.0323,8.1664,0.6618,1.6273,26.9528,10.0334,1.1265,19.2952,1.4241,1.0537,3.8258,0.481,3.7594,3.2499,5.6195,0.3012,115.561,3.0004,33.9512,7.5614,10.7219,4.2851,5.8468,9.3343,0.5926,5.4526,5.571,7.9574,1.2151,2.2056,5.9524,1.8904,36.9197,0.693,1.173,0.0,39.0359,7.4453,4.8723,29.4118,97.5387,5.8923,12.3903,6.1303,1.5435,9.9323,88.6634,3.8204,0.0,2.5124,2.2247,2.2857,6.9697,12.5765,4.1353,1.3055,21.0403,8.547,3.9627,0.5697,4.1563,6.7992,5.167,6.5388,2.1429,0.7839,20.1975,1.6878,0.7321,69.0642,8.5526,5.7803,0.0,4.3924,1.3895,9.9594,1.0438,82.7224,15.3461,16.9657,11.0055,0.0,6.0423,19.4077,1.6852,2.3816,4.3803,2.087,19.0278,6.1813,1.1641,5.3622,12.1951,4.3991,9.5803,4.4053,10.1143,0.5058,11.3065,5.9395,6.4461,15.228,3.3322,8.6132,15.6449,0.7812,3.2573,15.7672,2.1805,4.0601,20.0946,5.6283,3.1854,63.9621,2.8078,9.8709,0.3751,1.3146,4.2493,1.8861,2.9278,0.831,10.0898,9.8425,2.5652,5.4645,15.1525,9.1832,6.9533,6.1756,2.9396,13.9387,3.6355,10.0091,2.4643,0.4405,8.9723,2.7675,3.5879,7.8603,31.6989,0.0,0.0,9.2379,1.3427,2.0325,7.533,2.6226,21.5869,9.3711,1.3738,4.3062,3.276
APC,826.25,708.627,438.034,541.067,792.303,325.503,331.471,266.292,539.045,288.238,352.327,502.563,343.62,657.33,557.339,860.0,743.393,432.738,292.401,481.887,821.258,634.583,654.465,641.271,391.069,533.026,723.14,471.626,371.429,344.457,150.861,458.623,477.064,603.639,132.663,215.602,227.525,293.72,668.288,543.597,269.911,178.14,189.639,860.374,611.238,494.292,452.933,641.919,465.101,868.911,654.996,719.639,572.203,536.063,567.241,553.319,391.304,629.268,609.237,494.648,349.127,1023.52,475.679,541.516,831.927,859.665,620.394,908.046,1155.18,964.467,624.029,893.124,535.38,847.595,696.115,310.964,846.144,404.668,980.859,609.918,935.973,844.348,400.61,759.932,789.15,627.855,515.535,500.675,533.865,381.699,462.51,218.675,303.286,258.962,644.386,340.443,309.223,264.268,301.405,576.48,213.465,551.081,805.209,744.908,677.15,526.49,289.349,424.797,491.82,91.5672,328.397,317.15,270.308,439.235,535.821,379.937,269.101,603.138,323.3,515.865,305.415,371.094,613.478,460.964,151.568,207.783,491.455,516.612,762.626,1088.53,617.418,1101.38,956.14,801.095,657.051,938.508,905.626,632.036,490.761,936.679,727.415,463.117,1157.75,623.151,326.107,928.211,680.366,701.731,704.409,500.0,496.706,892.883,761.562,285.63,580.272,578.223,953.445,285.968,370.339,1118.17,1091.74,540.444,700.63,538.811,800.193,720.232,292.237,611.064,681.603,506.673,786.03,373.684,523.623,762.766,673.675,567.164,707.122,711.158,857.636,351.567,871.679,866.427,472.767,864.692,642.985,586.53,935.872,940.126,646.85,598.165,444.527,1374.75,1215.48,649.726,489.445,373.148,945.685,270.895,796.602,525.575,595.799,509.395,774.171,768.031,650.356,657.601,689.536,345.701,779.624,795.046,696.391,498.927,664.571,1044.6,774.065,626.612,808.828,471.398,243.112,383.029,290.541,468.615,721.485,420.441,334.464,610.903,628.338,303.871,516.109,344.92,365.546,779.849,507.218,952.457,663.245,392.332,566.554,611.573,363.155,346.545,552.146,548.554,677.762,504.219,754.937,345.15,513.619,658.394,648.189,594.554,421.234,550.725,357.143,570.247,791.17,714.755,360.298,606.516,507.389,279.795,1008.69,182.223,306.346,114.259,597.214,369.208,447.095,710.342,873.918,213.286,684.943,299.678,630.793,350.564,644.951,341.76,317.575,535.845,662.172,813.747,638.868,1043.89,901.312,1093.36,784.395,348.143,618.602,814.286,757.121,707.801,341.838,516.573,653.136,737.004,516.227,565.789,450.185,469.599,540.011,455.696,511.603,802.907,465.07,343.419,344.403,423.482,344.591,574.774,813.573,292.569,477.113,464.565,373.196,503.981,319.632,311.413,875.516,673.729,704.216,1002.2,570.677,632.132,1064.46,760.212,444.123,631.25,478.495,758.157,581.338,602.488,621.694,822.654,426.799,588.067,593.315,606.081,968.596,798.032,1064.68,1173.03,668.87,653.628,468.471,986.828,1175.73,381.632,570.877,743.791,233.843,985.488,566.69,800.884,669.76,618.002,1047.41,298.76,614.973,543.382,524.4,313.038,624.898,552.533,328.317,561.772,485.596,577.613,964.173,536.492,850.839,953.008,638.156,892.704,427.442,616.768,823.832,729.95,570.889,490.35,828.739,708.244,801.452,373.333,689.931,903.203,1261.9,318.955,333.05,925.595,289.225,585.756,305.613,295.015,491.849,548.277,624.942,466.855,756.167,1094.8,914.983,792.979,724.904,538.684,936.795,535.068,650.993,656.271,669.141,1063.4,960.571,357.002,736.72,473.195,478.459,458.502,702.797,548.173,492.772,424.771,466.527,1229.75,494.769,287.143,427.983,469.479,491.983,384.7,423.247,332.895,727.168,474.187,347.487,689.208,364.828,1084.03,1139.29,1020.75,892.485,859.43,507.433,993.958,638.837,576.604,869.807,1057.29,335.652,494.128,483.517,558.789,735.387,599.39,771.603,884.124,634.361,675.734,549.317,771.775,566.533,715.514,1130.51,417.527,415.588,719.273,497.656,672.638,966.307,789.795,415.347,845.745,823.976,355.404,815.378,411.624,442.673,213.832,574.058,494.806,501.697,1540.04,285.863,450.677,501.575,513.895,834.699,494.837,479.459,348.765,415.971,394.331,600.956,331.641,446.315,546.082,349.339,864.6,884.225,526.903,796.507,465.082,259.363,171.324,752.887,764.015,590.701,543.628,726.462,646.441,696.101,857.699,860.287,621.125
ARID1A,2776.16,3238.88,1644.04,2858.97,3846.06,1813.42,2384.16,1756.13,3025.02,1413.36,2289.47,3378.01,1633.03,3321.77,4863.15,4973.33,2490.68,2225.84,2080.2,1970.17,4190.18,743.145,2429.94,4632.69,2207.02,4155.75,4046.28,2523.63,911.355,1588.24,688.903,959.783,2335.35,1804.42,662.312,1185.15,793.563,1344.69,2483.12,1177.67,1798.04,2042.73,1020.84,4897.82,3758.54,1906.96,2079.76,3141.58,3572.48,3318.4,2421.4,1974.38,1654.05,3034.87,2274.33,665.096,1632.34,2938.21,1906.83,2886.76,2582.21,3758.46,3177.51,3076.71,3433.24,3016.73,3068.15,3034.48,2836.4,4979.06,3543.34,2517.19,2624.75,2826.67,2491.16,4269.26,4366.27,3105.96,2520.99,2188.6,4006.36,4560.27,4029.93,2598.18,2328.05,2980.74,3053.51,2683.93,3608.4,1577.0,3822.24,1316.46,3048.77,1223.54,3743.46,2453.83,871.953,790.038,2782.57,2368.95,1497.31,4895.6,3606.08,3440.43,3182.8,2881.76,2276.33,2653.09,2377.79,1971.79,2013.07,2532.16,4262.96,2202.55,2714.18,2505.62,1802.81,2614.11,1502.0,2243.6,1094.75,1637.28,2199.85,1709.3,416.376,557.509,4335.8,3776.98,2694.44,3273.9,3387.63,2606.4,2966.37,3376.77,3533.97,3732.93,3518.22,7070.12,2741.3,9669.06,3229.91,2642.08,2842.96,2169.77,1006.6,3068.42,2957.61,3450.07,2775.11,2963.44,2126.92,3573.52,3279.55,2598.21,4339.59,2764.15,2658.29,2116.05,1452.78,2585.28,3667.76,4965.27,5228.96,3445.01,3350.79,3712.49,3691.78,3371.33,3248.78,2213.44,3184.79,3506.14,2064.07,3214.89,3247.71,3320.15,3024.71,2633.47,3015.2,2619.37,3397.99,2605.51,4761.66,5056.85,2898.99,4757.0,2587.17,2582.98,2722.27,2920.18,2197.44,2541.08,2781.51,3566.52,3071.15,2239.81,2918.99,2970.94,2135.93,3977.59,3305.75,3909.53,3711.34,2508.26,2644.78,2407.58,2350.65,2706.6,2489.18,3058.08,3627.54,2920.6,2894.36,3665.98,2512.17,1841.16,2757.2,3028.82,3433.48,2725.4,2433.0,2217.53,2548.19,2868.42,2972.17,3222.88,3086.05,2544.52,4120.07,2620.32,2858.72,2714.62,3051.64,2993.97,3690.62,3474.79,2044.21,4275.6,1949.18,1428.49,2459.69,2482.02,1858.99,3699.37,3985.54,1652.56,4333.52,3068.61,1642.81,7113.09,3282.67,4122.07,1624.81,2197.95,2727.15,2117.55,2719.11,2359.9,2469.21,2691.56,2984.56,777.393,1045.95,969.328,3428.61,1403.59,4191.2,3970.52,1869.9,1060.2,2864.98,1288.1,1886.88,1923.87,1153.09,2752.81,1283.66,3082.23,2789.84,3091.49,3035.21,3703.08,2146.16,3415.0,3581.5,5847.48,3156.68,3468.2,2865.07,3857.43,3867.5,5116.44,2486.83,3155.71,3848.82,2796.78,5824.72,3012.61,4137.19,2113.92,2276.79,3070.5,2316.54,2683.89,1383.35,2445.48,1389.45,1951.57,3801.31,1473.23,2670.77,1859.11,2962.37,1921.97,1302.62,1901.8,2459.42,3865.25,5373.82,1683.96,4570.68,2274.43,3015.72,3262.86,2128.55,2660.42,2673.12,4053.26,3801.1,2906.97,3133.51,3495.35,3317.34,4389.56,3104.92,1932.46,1572.26,5876.16,5800.99,3758.51,3145.45,2657.41,2476.46,3523.97,2871.52,2263.93,4820.51,2921.12,2473.12,3285.3,2902.64,2746.39,2653.19,3416.02,3672.84,4312.18,2831.93,1872.07,3459.06,1977.5,2676.97,2947.79,3303.23,4381.52,2764.57,3576.19,2825.08,4157.45,3646.49,3412.59,4348.62,4620.07,4306.05,2884.36,3111.02,3627.58,3661.11,3570.05,3055.56,3343.99,3889.54,4183.11,3176.3,3978.76,4691.53,2846.9,1773.33,4020.83,2301.83,3914.59,1485.1,2902.06,3375.49,2455.71,2302.93,2186.33,3156.55,2974.02,3648.99,3662.36,1901.15,5432.38,4501.58,4738.86,4919.89,5267.99,1491.54,2402.67,2160.57,1774.95,3075.29,1842.56,2964.1,1447.39,2897.82,3740.13,5729.55,4404.82,2549.69,2876.45,2719.27,3360.71,1898.49,5780.52,2463.01,1704.25,4187.55,3675.99,3150.67,2934.35,4630.55,3450.21,1603.46,3737.47,2733.78,3880.24,3579.32,3097.55,4127.36,3375.23,1901.63,3949.45,3497.49,4003.56,1567.65,2354.1,1426.85,2435.39,2491.12,3195.12,3879.57,3842.15,2537.44,3614.19,4084.98,4074.54,2949.17,2709.07,3524.62,1800.73,1478.03,1984.55,3197.27,2670.47,2775.41,3374.62,3706.46,2403.07,3046.01,3277.36,2406.64,1862.7,2325.74,1889.6,2588.08,2344.66,2973.22,5372.15,3004.05,3056.72,3059.45,3151.35,2877.96,2540.85,4048.82,6550.41,2611.84,3409.55,3022.3,3252.18,1324.84,1847.22,2326.87,3518.76,3908.67,2775.47,2587.77,2557.7,4558.15,1691.98,2251.73,3871.1,2458.33,2898.93,2814.93,2695.45,2769.75,2236.06,2533.97,2221.77
