,count,mean,std,min,25%,50%,75%,max
AGE,503.0,65.24453280318092,9.935341007067178,33.0,59.0,66.0,72.0,88.0
OS_MONTHS,503.0,29.79545222723062,29.557797390538436,0.0,13.660124275000001,21.46825788,37.232468690000005,238.2877996
MUTATION_COUNT,503.0,280.1848906560636,285.4516997999194,0.0,80.5,193.0,373.0,1582.0
